instance,populationSize,crossoverProb,mutationProb,run,hv,timeMillis,n_points,n_nd
instancia_mediana.json,60,0.9,0.2,21,300.0,358.0,1,1
instancia_mediana.json,60,0.9,0.2,22,275.0,379.0,1,1
instancia_mediana.json,60,0.9,0.2,23,300.0,369.0,1,1
instancia_mediana.json,60,0.9,0.2,24,350.0,436.0,1,1
instancia_mediana.json,60,0.9,0.2,25,350.0,355.0,1,1
instancia_mediana.json,60,0.9,0.2,26,350.0,374.0,1,1
instancia_mediana.json,60,0.9,0.2,27,350.0,353.0,1,1
instancia_mediana.json,60,0.9,0.2,28,350.0,381.0,1,1
instancia_mediana.json,60,0.9,0.2,29,300.0,368.0,1,1
instancia_mediana.json,60,1.0,0.05,0,300.0,360.0,1,1
instancia_mediana.json,60,1.0,0.05,1,350.0,347.0,1,1
instancia_mediana.json,60,1.0,0.05,2,349.0,381.0,2,2
instancia_mediana.json,60,1.0,0.05,3,300.0,343.0,1,1
instancia_mediana.json,60,1.0,0.05,4,300.0,398.0,1,1
instancia_mediana.json,60,1.0,0.05,5,350.0,344.0,1,1
instancia_mediana.json,60,1.0,0.05,6,275.0,370.0,1,1
instancia_mediana.json,60,1.0,0.05,7,275.0,354.0,1,1
instancia_mediana.json,60,1.0,0.05,8,350.0,370.0,1,1
instancia_mediana.json,60,1.0,0.05,9,375.0,339.0,1,1
instancia_mediana.json,60,1.0,0.05,10,350.0,349.0,1,1
instancia_mediana.json,60,1.0,0.05,11,225.0,350.0,1,1
instancia_mediana.json,60,1.0,0.05,12,350.0,340.0,1,1
instancia_mediana.json,60,1.0,0.05,13,350.0,358.0,1,1
instancia_mediana.json,60,1.0,0.05,14,350.0,360.0,1,1
instancia_mediana.json,60,1.0,0.05,15,300.0,374.0,1,1
instancia_mediana.json,60,1.0,0.05,16,248.0,410.0,6,6
instancia_mediana.json,60,1.0,0.05,17,350.0,344.0,1,1
instancia_mediana.json,60,1.0,0.05,18,350.0,334.0,1,1
instancia_mediana.json,60,1.0,0.05,19,350.0,374.0,1,1
instancia_mediana.json,60,1.0,0.05,20,350.0,388.0,1,1
instancia_mediana.json,60,1.0,0.05,21,300.0,344.0,1,1
instancia_mediana.json,60,1.0,0.05,22,275.0,386.0,1,1
instancia_mediana.json,60,1.0,0.05,23,317.0,345.0,2,2
instancia_mediana.json,60,1.0,0.05,24,309.0,378.0,2,2
instancia_mediana.json,60,1.0,0.05,25,275.0,378.0,1,1
instancia_mediana.json,60,1.0,0.05,26,275.0,346.0,1,1
instancia_mediana.json,60,1.0,0.05,27,350.0,341.0,1,1
instancia_mediana.json,60,1.0,0.05,28,350.0,350.0,1,1
instancia_mediana.json,60,1.0,0.05,29,350.0,396.0,1,1
instancia_mediana.json,60,1.0,0.1,0,350.0,369.0,1,1
instancia_mediana.json,60,1.0,0.1,1,350.0,350.0,1,1
instancia_mediana.json,60,1.0,0.1,2,300.0,352.0,1,1
instancia_mediana.json,60,1.0,0.1,3,350.0,361.0,1,1
instancia_mediana.json,60,1.0,0.1,4,300.0,398.0,1,1
instancia_mediana.json,60,1.0,0.1,5,275.0,355.0,1,1
instancia_mediana.json,60,1.0,0.1,6,325.0,354.0,1,1
instancia_mediana.json,60,1.0,0.1,7,375.0,373.0,1,1
instancia_mediana.json,60,1.0,0.1,8,350.0,353.0,1,1
instancia_mediana.json,60,1.0,0.1,9,300.0,344.0,1,1
instancia_mediana.json,60,1.0,0.1,10,300.0,355.0,1,1
instancia_mediana.json,60,1.0,0.1,11,300.0,360.0,1,1
instancia_mediana.json,60,1.0,0.1,12,350.0,357.0,1,1
instancia_mediana.json,60,1.0,0.1,13,350.0,359.0,1,1
instancia_mediana.json,60,1.0,0.1,14,325.0,358.0,1,1
instancia_mediana.json,60,1.0,0.1,15,350.0,372.0,1,1
instancia_mediana.json,60,1.0,0.1,16,300.0,355.0,1,1
instancia_mediana.json,60,1.0,0.1,17,350.0,411.0,1,1
instancia_mediana.json,60,1.0,0.1,18,350.0,373.0,1,1
instancia_mediana.json,60,1.0,0.1,19,350.0,371.0,1,1
instancia_mediana.json,60,1.0,0.1,20,350.0,373.0,1,1
instancia_mediana.json,60,1.0,0.1,21,350.0,349.0,1,1
instancia_mediana.json,60,1.0,0.1,22,275.0,346.0,1,1
instancia_mediana.json,60,1.0,0.1,23,350.0,345.0,1,1
instancia_mediana.json,60,1.0,0.1,24,273.0,368.0,2,2
instancia_mediana.json,60,1.0,0.1,25,367.0,412.0,3,3
instancia_mediana.json,60,1.0,0.1,26,275.0,382.0,1,1
instancia_mediana.json,60,1.0,0.1,27,225.0,371.0,1,1
instancia_mediana.json,60,1.0,0.1,28,350.0,372.0,1,1
instancia_mediana.json,60,1.0,0.1,29,350.0,350.0,1,1
instancia_mediana.json,60,1.0,0.2,0,300.0,359.0,1,1
instancia_mediana.json,60,1.0,0.2,1,321.0,385.0,2,2
instancia_mediana.json,60,1.0,0.2,2,325.0,353.0,1,1
instancia_mediana.json,60,1.0,0.2,3,350.0,358.0,1,1
instancia_mediana.json,60,1.0,0.2,4,300.0,386.0,1,1
instancia_mediana.json,60,1.0,0.2,5,350.0,424.0,1,1
instancia_mediana.json,60,1.0,0.2,6,275.0,361.0,1,1
instancia_mediana.json,60,1.0,0.2,7,350.0,377.0,1,1
instancia_mediana.json,60,1.0,0.2,8,350.0,370.0,1,1
instancia_mediana.json,60,1.0,0.2,9,275.0,361.0,1,1
instancia_mediana.json,60,1.0,0.2,10,350.0,378.0,1,1
instancia_mediana.json,60,1.0,0.2,11,350.0,381.0,1,1
instancia_mediana.json,60,1.0,0.2,12,275.0,400.0,1,1
instancia_mediana.json,60,1.0,0.2,13,250.0,363.0,1,1
instancia_mediana.json,60,1.0,0.2,14,375.0,375.0,1,1
instancia_mediana.json,60,1.0,0.2,15,225.0,407.0,1,1
instancia_mediana.json,60,1.0,0.2,16,300.0,356.0,1,1
instancia_mediana.json,60,1.0,0.2,17,300.0,379.0,1,1
instancia_mediana.json,60,1.0,0.2,18,323.0,440.0,2,2
instancia_mediana.json,60,1.0,0.2,19,325.0,362.0,1,1
instancia_mediana.json,60,1.0,0.2,20,325.0,354.0,1,1
instancia_mediana.json,60,1.0,0.2,21,325.0,366.0,1,1
instancia_mediana.json,60,1.0,0.2,22,350.0,364.0,1,1
instancia_mediana.json,60,1.0,0.2,23,350.0,372.0,1,1
instancia_mediana.json,60,1.0,0.2,24,250.0,345.0,1,1
instancia_mediana.json,60,1.0,0.2,25,250.0,349.0,1,1
instancia_mediana.json,60,1.0,0.2,26,350.0,385.0,1,1
instancia_mediana.json,60,1.0,0.2,27,350.0,373.0,1,1
instancia_mediana.json,60,1.0,0.2,28,350.0,397.0,1,1
instancia_mediana.json,60,1.0,0.2,29,375.0,380.0,1,1
instancia_mediana.json,120,0.7,0.05,0,350.0,454.0,1,1
instancia_mediana.json,120,0.7,0.05,1,292.0,453.0,2,2
instancia_mediana.json,120,0.7,0.05,2,325.0,425.0,1,1
instancia_mediana.json,120,0.7,0.05,3,350.0,416.0,1,1
instancia_mediana.json,120,0.7,0.05,4,275.0,440.0,1,1
instancia_mediana.json,120,0.7,0.05,5,350.0,451.0,1,1
instancia_mediana.json,120,0.7,0.05,6,300.0,446.0,1,1
instancia_mediana.json,120,0.7,0.05,7,348.0,437.0,2,2
instancia_mediana.json,120,0.7,0.05,8,350.0,431.0,1,1
instancia_mediana.json,120,0.7,0.05,9,300.0,424.0,1,1
instancia_mediana.json,120,0.7,0.05,10,300.0,411.0,1,1
instancia_mediana.json,120,0.7,0.05,11,350.0,453.0,1,1
instancia_mediana.json,120,0.7,0.05,12,350.0,449.0,1,1
instancia_mediana.json,120,0.7,0.05,13,350.0,440.0,1,1
instancia_mediana.json,120,0.7,0.05,14,300.0,429.0,1,1
instancia_mediana.json,120,0.7,0.05,15,325.0,447.0,1,1
instancia_mediana.json,120,0.7,0.05,16,350.0,440.0,1,1
instancia_mediana.json,120,0.7,0.05,17,325.0,432.0,1,1
instancia_mediana.json,120,0.7,0.05,18,275.0,436.0,1,1
instancia_mediana.json,120,0.7,0.05,19,300.0,452.0,1,1
instancia_mediana.json,120,0.7,0.05,20,325.0,441.0,1,1
instancia_mediana.json,120,0.7,0.05,21,250.0,433.0,1,1
instancia_mediana.json,120,0.7,0.05,22,225.0,418.0,1,1
instancia_mediana.json,120,0.7,0.05,23,300.0,487.0,1,1
instancia_mediana.json,120,0.7,0.05,24,125.0,404.0,1,1
instancia_mediana.json,120,0.7,0.05,25,300.0,415.0,1,1
instancia_mediana.json,120,0.7,0.05,26,350.0,432.0,1,1
instancia_mediana.json,120,0.7,0.05,27,350.0,431.0,1,1
instancia_mediana.json,120,0.7,0.05,28,300.0,457.0,1,1
instancia_mediana.json,120,0.7,0.05,29,350.0,432.0,1,1
instancia_mediana.json,120,0.7,0.1,0,350.0,433.0,1,1
instancia_mediana.json,120,0.7,0.1,1,348.0,449.0,2,2
instancia_mediana.json,120,0.7,0.1,2,275.0,456.0,1,1
instancia_mediana.json,120,0.7,0.1,3,275.0,425.0,1,1
instancia_mediana.json,120,0.7,0.1,4,350.0,423.0,1,1
instancia_mediana.json,120,0.7,0.1,5,350.0,457.0,1,1
instancia_mediana.json,120,0.7,0.1,6,350.0,431.0,1,1
instancia_mediana.json,120,0.7,0.1,7,350.0,425.0,1,1
instancia_mediana.json,120,0.7,0.1,8,275.0,417.0,1,1
instancia_mediana.json,120,0.7,0.1,9,350.0,431.0,1,1
instancia_mediana.json,120,0.7,0.1,10,350.0,441.0,1,1
instancia_mediana.json,120,0.7,0.1,11,350.0,423.0,1,1
instancia_mediana.json,120,0.7,0.1,12,250.0,414.0,1,1
instancia_mediana.json,120,0.7,0.1,13,350.0,449.0,1,1
instancia_mediana.json,120,0.7,0.1,14,350.0,466.0,1,1
instancia_mediana.json,120,0.7,0.1,15,275.0,433.0,1,1
instancia_mediana.json,120,0.7,0.1,16,350.0,441.0,1,1
instancia_mediana.json,120,0.7,0.1,17,325.0,414.0,1,1
instancia_mediana.json,120,0.7,0.1,18,275.0,431.0,1,1
instancia_mediana.json,120,0.7,0.1,19,275.0,430.0,1,1
instancia_mediana.json,120,0.7,0.1,20,375.0,440.0,1,1
instancia_mediana.json,120,0.7,0.1,21,325.0,453.0,1,1
instancia_mediana.json,120,0.7,0.1,22,350.0,424.0,1,1
instancia_mediana.json,120,0.7,0.1,23,350.0,426.0,1,1
instancia_mediana.json,120,0.7,0.1,24,350.0,437.0,1,1
instancia_mediana.json,120,0.7,0.1,25,350.0,475.0,1,1
instancia_mediana.json,120,0.7,0.1,26,350.0,465.0,1,1
instancia_mediana.json,120,0.7,0.1,27,325.0,440.0,1,1
instancia_mediana.json,120,0.7,0.1,28,350.0,447.0,1,1
instancia_mediana.json,120,0.7,0.1,29,350.0,427.0,1,1
instancia_mediana.json,120,0.7,0.2,0,350.0,472.0,1,1
instancia_mediana.json,120,0.7,0.2,1,350.0,438.0,1,1
instancia_mediana.json,120,0.7,0.2,2,350.0,449.0,1,1
instancia_mediana.json,120,0.7,0.2,3,325.0,459.0,1,1
instancia_mediana.json,120,0.7,0.2,4,350.0,463.0,1,1
instancia_mediana.json,120,0.7,0.2,5,350.0,450.0,1,1
instancia_mediana.json,120,0.7,0.2,6,350.0,453.0,1,1
instancia_mediana.json,120,0.7,0.2,7,350.0,473.0,1,1
instancia_mediana.json,120,0.7,0.2,8,350.0,437.0,1,1
instancia_mediana.json,120,0.7,0.2,9,350.0,469.0,1,1
instancia_mediana.json,120,0.7,0.2,10,325.0,459.0,1,1
instancia_mediana.json,120,0.7,0.2,11,375.0,477.0,1,1
instancia_mediana.json,120,0.7,0.2,12,350.0,465.0,1,1
instancia_mediana.json,120,0.7,0.2,13,350.0,462.0,1,1
instancia_mediana.json,120,0.7,0.2,14,273.0,471.0,2,2
instancia_mediana.json,120,0.7,0.2,15,350.0,446.0,1,1
instancia_mediana.json,120,0.7,0.2,16,350.0,457.0,1,1
